density,temperature,delta_phi,substance
27859.53197658863,160,-0.0286427174862684,methane
27976.588829431443,160,-0.0287863517304367,methane
28093.64568227425,160,-0.0289326177716724,methane
28210.70253511706,160,-0.0290818319694604,methane
28327.759387959868,160,-0.0292343379491116,methane
28444.81624080268,160,-0.0293905073363899,methane
28561.87309364549,160,-0.0295507404995984,methane
28678.929946488297,160,-0.0297154672993681,methane
28795.986799331105,160,-0.0298851478465489,methane
28913.04365217392,160,-0.0300602732684779,methane
29030.10050501673,160,-0.0302413664840118,methane
29147.15735785953,160,-0.0304289829878399,methane
29264.214210702343,160,-0.0306237116443353,methane
29381.271063545155,160,-0.030826175491643,methane
29498.327916387963,160,-0.0310370325563027,methane
29615.38476923077,160,-0.0312569766790585,methane
29732.44162207358,160,-0.0314867383523382,methane
29849.498474916392,160,-0.0317270855700398,methane
29966.5553277592,160,-0.031978824690143,methane
30083.61218060201,160,-0.0322428013108319,methane
30200.66903344482,160,-0.0325199011607285,methane
30317.72588628763,160,-0.0328110510039658,methane
30434.78273913044,160,-0.0331172195607087,methane
30551.839591973247,160,-0.0334394184439089,methane
30668.89644481606,160,-0.0337787031129825,methane
30785.953297658867,160,-0.03413617384522,methane
30903.01015050168,160,-0.0345129767256808,methane
31020.067003344484,160,-0.0349103046563793,methane
31137.123856187296,160,-0.03532939838563,methane
31254.180709030104,160,-0.0357715475584299,methane
31371.237561872917,160,-0.0362380917886859,methane
31488.29441471572,160,-0.0367304217543267,methane
31605.351267558533,160,-0.0372499803161789,methane
