density,temperature,TPSA,MW,LogP,HallKierAlpha,delta_phi
35.0,67.0,31.5,18.015,-0.8247,-0.04,-0.6907520460859742
36.0,67.0,31.5,18.015,-0.8247,-0.04,-0.6676464006780863
36.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.6450710674579629
38.00000000000001,67.0,31.5,18.015,-0.8247,-0.04,-0.6230299852537833
38.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.6015296924562089
40.0,67.0,31.5,18.015,-0.8247,-0.04,-0.5805799304417738
41.0,67.0,31.5,18.015,-0.8247,-0.04,-0.5601923372019778
41.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.5403784851670549
42.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.5211482904559961
43.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.5025092843662469
45.0,67.0,31.5,18.015,-0.8247,-0.04,-0.4844667344664521
45.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.467024310545768
47.00000000000001,67.0,31.5,18.015,-0.8247,-0.04,-0.4501849228650332
47.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.4339514422107375
48.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.4183271542799147
49.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.403315937188772
50.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.3889222418020482
51.999999999999986,67.0,31.5,18.015,-0.8247,-0.04,-0.3751509885897346
52.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.3620074814714911
54.0,67.0,31.5,18.015,-0.8247,-0.04,-0.3494973996161216
55.0,67.0,31.5,18.015,-0.8247,-0.04,-0.3376268838271538
55.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.326402699692481
57.0,67.0,31.5,18.015,-0.8247,-0.04,-0.3158324415100947
57.999999999999986,67.0,31.5,18.015,-0.8247,-0.04,-0.3059247388296019
58.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.296689436757263
59.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.2881377356833524
60.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.2802822899674694
62.0,67.0,31.5,18.015,-0.8247,-0.04,-0.2731372745255598
62.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.2667184319491588
63.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.2610431116669754
