,temperature,density,real_ufrac,delta_phi,stable,pres
88,625,38500.0,0.7722186367910352,-0.15993741948642348,1,-1480.4769869980476
89,625,39060.606060606064,0.782744958904275,-0.15394674424608967,1,-1453.5820884708685
90,625,39621.21212121212,0.7924124463082989,-0.14855840158397804,1,-1421.0976551806643
91,625,40181.818181818184,0.8012274544348131,-0.14377648849749136,1,-1382.6890597453546
92,625,40742.42424242424,0.809194875189954,-0.13960649704790962,1,-1338.013318458566
93,625,41303.030303030304,0.8163181102974956,-0.136055304171124,1,-1286.7188114566634
94,625,41863.63636363637,0.822599053856951,-0.13313115587581137,1,-1228.4450212546574
95,625,42424.242424242424,0.8280380808791475,-0.13084364899110779,1,-1162.8223694847434
96,625,42984.84848484849,0.8326340380347061,-0.12920371412614895,1,-1089.4722126920055
97,625,43545.454545454544,0.8363842329131557,-0.12822360341905392,1,-1008.0070355555055
98,625,44106.06060606061,0.839284418595958,-0.12791688612900654,1,-918.0308565015291
99,625,44666.66666666667,0.8413287711345997,-0.1282984543226976,1,-819.1398385944293
100,625,45227.27272727273,0.8425098584552997,-0.12938453996504895,1,-710.9230795774645
101,625,45787.87878787879,0.8428186001573448,-0.13119274377099044,1,-592.9635401632402
102,625,46348.48484848485,0.8422442185394675,-0.13374207530289106,1,-464.83905971241774
103,625,46909.09090909091,0.8407741819083507,-0.13705300307642088,1,-326.1234033352752
104,625,47469.69696969697,0.8383941417587499,-0.14114751290233596,1,-176.38728383269338
105,625,48030.30303030303,0.8350878657512637,-0.1460491723572349,1,-15.199305105123292
106,625,48590.909090909096,0.8308371685572881,-0.15178319913659777,1,157.87322010018983
107,625,49151.51515151515,0.8256218426106087,-0.15837653107866734,1,343.2636168216522
108,625,49712.121212121216,0.8194195906318255,-0.1658578958272925,1,541.4053878484011
109,625,50272.72727272727,0.8122059615055597,-0.17425787839530138,1,752.731965599029
110,625,50833.333333333336,0.8039542907285511,-0.18360898525970626,1,977.6766841476265
111,625,51393.93939393939,0.7946356462379326,-0.19394570403724443,1,1216.6729698249578
112,625,51954.545454545456,0.7842187800048377,-0.2053045582216051,1,1470.1547399547278
113,625,52515.15151515152,0.772670085359708,-0.21772415689136515,1,1738.5569916456527
114,625,53075.757575757576,0.7599535596261431,-0.2312452396961231,1,2022.316556331976
115,625,53636.36363636364,0.7460307712880828,-0.24591071778924845,1,2321.8729910444467
116,625,54196.969696969696,0.7308608306166402,-0.26176571168286733,1,2637.669574216558
117,625,54757.57575757576,0.7144003624379334,-0.27885758725417586,1,2970.154372148506
118,625,55318.18181818182,0.6966034795386412,-0.2972359913250173,1,3319.7813419656354
119,625,55878.78787878788,0.6774217550762289,-0.3169528883743228,1,3687.011437878239
120,625,56439.39393939394,0.6568041922859186,-0.3380626000254,1,4072.3136896039464
121,625,57000.0,0.6346971897490845,-0.36062184898457617,1,4476.166224757661
122,695,1500.0,-1.3111486637918617,-1.3475204358398762,1,-8.48341673229899
123,695,2060.6060606060605,-1.3561356806303677,-1.4066804982637757,1,-15.867038234547755
124,695,2621.212121212121,-1.3884888049164785,-1.4535117688375836,1,-25.392604302158592
125,695,3181.818181818182,-1.4095781005003456,-1.4893766189952082,1,-36.93519578479312
126,695,3742.4242424242425,-1.420653094065158,-1.5155160579714473,1,-50.35866901853417
127,695,4303.030303030303,-1.4228545468979248,-1.5330614813746926,1,-65.52111144397857
128,695,4863.636363636364,-1.4172235213724513,-1.5430437183474355,1,-82.27936236612625
129,695,5424.242424242424,-1.4047087034173953,-1.5464003390772285,1,-100.49260164342982
130,695,5984.848484848485,-1.3861726337813907,-1.5439818759554766,1,-120.02504666436896
131,695,6545.454545454546,-1.3623972879143311,-1.5365573986761154,1,-140.74783032201861
